game_number,payout,lifestyle_bonus,total_payout,lifestyle_bonuses,cards_drawn,draw_order,card_stack,suit_counts,life,wild,death,super_death,longest_suit_count,best_payout,best_payout_card_count
32,3.7,2.0,5.7,3,15,"['super_life2', 'super_life6', 'life6', 'life7', 'life5', 'super_wild', 'wild', 'life3', 'life1', 'life10', 'life5', 'wild', 'life10', 'super_life4', 'death10']","{'suits': {1: ['life1'], 2: ['super_life2'], 3: ['life3'], 4: ['super_life4'], 5: ['life5', 'life5', 'wild'], 6: ['super_life6', 'life6', 'super_wild'], 7: ['life7'], 8: [], 9: [], 10: ['life10', 'life10', 'death10', 'wild']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 1, 3: 1, 4: 1, 5: 3, 6: 3, 7: 1, 8: 0, 9: 0, 10: 4}",11,3,1,0,4,3.7,"[super_life2, super_life6, life6, life7, life5, super_wild, wild, life3, life1, life10, life5, wild, life10, super_life4, death10]"
33,2.0,1.0,3.0,1,8,"['super_wild', 'life4', 'life7', 'super_life9', 'life5', 'life8', 'life7', 'death7']","{'suits': {1: [], 2: [], 3: [], 4: ['life4'], 5: ['life5'], 6: [], 7: ['life7', 'life7', 'death7', 'super_wild'], 8: ['life8'], 9: ['super_life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 4, 8: 1, 9: 1, 10: 0}",6,1,1,0,4,2.0,"[super_wild, life4, life7, super_life9, life5, life8, life7, death7]"
34,1.0,0.5,1.5,1,7,"['life8', 'life8', 'super_life1', 'life7', 'life5', 'life8', 'death4']","{'suits': {1: ['super_life1'], 2: [], 3: [], 4: ['death4'], 5: ['life5'], 6: [], 7: ['life7'], 8: ['life8', 'life8', 'life8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 1, 8: 3, 9: 0, 10: 0}",6,0,1,0,3,1.0,"[life8, life8, super_life1, life7, life5, life8, death4]"
35,0.3,0.0,0.3,0,4,"['life10', 'life5', 'life7', 'death1']","{'suits': {1: ['death1'], 2: [], 3: [], 4: [], 5: ['life5'], 6: [], 7: ['life7'], 8: [], 9: [], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 1, 8: 0, 9: 0, 10: 1}",3,0,1,0,1,0.3,"[life10, life5, life7, death1]"
36,1.4,0.1,1.5,1,6,"['super_life9', 'life5', 'wild', 'super_life2', 'life3', 'death10']","{'suits': {1: [], 2: ['super_life2'], 3: ['life3'], 4: [], 5: ['life5'], 6: [], 7: [], 8: [], 9: ['super_life9', 'wild'], 10: ['death10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 1, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 2, 10: 1}",4,1,1,0,2,1.4,"[super_life9, life5, wild, super_life2, life3, death10]"
37,0.2,0.0,0.2,0,3,"['life2', 'life5', 'death10']","{'suits': {1: [], 2: ['life2'], 3: [], 4: [], 5: ['life5'], 6: [], 7: [], 8: [], 9: [], 10: ['death10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1}",2,0,1,0,1,0.2,"[life2, life5, death10]"
38,0.0,0.0,0.0,0,1,['death7'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: ['death7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,0.0,0
39,2.5,0.3,2.8,3,10,"['life2', 'life9', 'super_life6', 'life3', 'life2', 'life10', 'super_life10', 'super_life5', 'super_life8', 'death5']","{'suits': {1: [], 2: ['life2', 'life2'], 3: ['life3'], 4: [], 5: ['super_life5', 'death5'], 6: ['super_life6'], 7: [], 8: ['super_life8'], 9: ['life9'], 10: ['life10', 'super_life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 2, 3: 1, 4: 0, 5: 2, 6: 1, 7: 0, 8: 1, 9: 1, 10: 2}",9,0,1,0,2,2.5,"[life2, life9, super_life6, life3, life2, life10, super_life10, super_life5, super_life8, death5]"
40,0.7,0.0,0.7,0,4,"['super_life9', 'life6', 'life5', 'death10']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['life5'], 6: ['life6'], 7: [], 8: [], 9: ['super_life9'], 10: ['death10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 1, 7: 0, 8: 0, 9: 1, 10: 1}",3,0,1,0,1,0.7,"[super_life9, life6, life5, death10]"
41,1.1,0.2,1.3,2,7,"['life7', 'super_life2', 'life9', 'life4', 'life3', 'wild', 'death3']","{'suits': {1: [], 2: ['super_life2'], 3: ['life3', 'death3'], 4: ['life4'], 5: [], 6: [], 7: ['life7', 'wild'], 8: [], 9: ['life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 2, 4: 1, 5: 0, 6: 0, 7: 2, 8: 0, 9: 1, 10: 0}",5,1,1,0,2,1.1,"[life7, super_life2, life9, life4, life3, wild, death3]"
42,2.1,0.2,2.3,2,9,"['life3', 'life4', 'life5', 'super_wild', 'life7', 'super_life10', 'life6', 'life1', 'death4']","{'suits': {1: ['life1'], 2: [], 3: ['life3', 'super_wild'], 4: ['life4', 'death4'], 5: ['life5'], 6: ['life6'], 7: ['life7'], 8: [], 9: [], 10: ['super_life10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 2, 4: 2, 5: 1, 6: 1, 7: 1, 8: 0, 9: 0, 10: 1}",7,1,1,0,2,2.1,"[life3, life4, life5, super_wild, life7, super_life10, life6, life1, death4]"
43,0.0,0.0,0.0,0,1,['death4'],"{'suits': {1: [], 2: [], 3: [], 4: ['death4'], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,0.0,0
44,0.0,0.0,0.0,0,1,['death7'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: ['death7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,0.0,0
45,0.9,0.2,1.1,2,6,"['life5', 'super_life9', 'life8', 'life5', 'life10', 'death8']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: ['life5', 'life5'], 6: [], 7: [], 8: ['life8', 'death8'], 9: ['super_life9'], 10: ['life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 2, 6: 0, 7: 0, 8: 2, 9: 1, 10: 1}",5,0,1,0,2,0.9,"[life5, super_life9, life8, life5, life10, death8]"
46,0.7,0.1,0.8,1,4,"['life4', 'super_life10', 'life4', 'death5']","{'suits': {1: [], 2: [], 3: [], 4: ['life4', 'life4'], 5: ['death5'], 6: [], 7: [], 8: [], 9: [], 10: ['super_life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 2, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1}",3,0,1,0,2,0.7,"[life4, super_life10, life4, death5]"
47,0.1,0.0,0.1,0,2,"['life8', 'death9']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: ['life8'], 9: ['death9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0}",1,0,1,0,1,0.1,"[life8, death9]"
48,0.0,0.0,0.0,0,1,['death7'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: ['death7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0}",0,0,1,0,1,0.0,0
49,0.1,0.0,0.1,0,2,"['life1', 'death6']","{'suits': {1: ['life1'], 2: [], 3: [], 4: [], 5: [], 6: ['death6'], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0}",1,0,1,0,1,0.1,"[life1, death6]"
50,0.5,0.0,0.5,0,2,"['super_life4', 'death2']","{'suits': {1: [], 2: ['death2'], 3: [], 4: ['super_life4'], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",1,0,1,0,1,0.5,"[super_life4, death2]"
