player,game_number,bet,payout,lifestyle_bonus,total_payout,lifestyle_bonuses,total_return,available_bank,cards_drawn,draw_order,card_stack,suit_counts,life,wild,death,super_death,longest_suit_count,simulation_payout,simulation_return,simulation_bank
p10,5,10,0.3,0.0,0.3,0,3.0,100003.0,4,"['life7', 'life6', 'life2', 'death3']","{'suits': {1: [], 2: ['life2'], 3: ['death3'], 4: [], 5: [], 6: ['life6'], 7: ['life7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 1, 4: 0, 5: 0, 6: 1, 7: 1, 8: 0, 9: 0, 10: 0}",3,0,1,0,1,1.3,13.0,100051.0
p20,5,20,0.3,0.0,0.3,0,6.0,100006.0,4,"['life7', 'life6', 'life2', 'death3']","{'suits': {1: [], 2: ['life2'], 3: ['death3'], 4: [], 5: [], 6: ['life6'], 7: ['life7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 1, 4: 0, 5: 0, 6: 1, 7: 1, 8: 0, 9: 0, 10: 0}",3,0,1,0,1,1.3,26.0,100102.0
p50,5,50,0.3,0.0,0.3,0,15.0,100015.0,4,"['life7', 'life6', 'life2', 'death3']","{'suits': {1: [], 2: ['life2'], 3: ['death3'], 4: [], 5: [], 6: ['life6'], 7: ['life7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 1, 4: 0, 5: 0, 6: 1, 7: 1, 8: 0, 9: 0, 10: 0}",3,0,1,0,1,1.3,65.0,100255.0
p100,5,100,0.3,0.0,0.3,0,30.0,100030.0,4,"['life7', 'life6', 'life2', 'death3']","{'suits': {1: [], 2: ['life2'], 3: ['death3'], 4: [], 5: [], 6: ['life6'], 7: ['life7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 1, 4: 0, 5: 0, 6: 1, 7: 1, 8: 0, 9: 0, 10: 0}",3,0,1,0,1,1.3,130.0,100510.0
p250,5,250,0.3,0.0,0.3,0,75.0,100075.0,4,"['life7', 'life6', 'life2', 'death3']","{'suits': {1: [], 2: ['life2'], 3: ['death3'], 4: [], 5: [], 6: ['life6'], 7: ['life7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 1, 4: 0, 5: 0, 6: 1, 7: 1, 8: 0, 9: 0, 10: 0}",3,0,1,0,1,1.3,325.0,101275.0
p10,6,10,2.7,1.2,3.9,3,39.0,100042.0,11,"['life10', 'wild', 'super_life3', 'super_life10', 'life5', 'life9', 'super_life2', 'life5', 'super_life5', 'life7', 'death2']","{'suits': {1: [], 2: ['super_life2', 'death2'], 3: ['super_life3'], 4: [], 5: ['life5', 'life5', 'super_life5', 'wild'], 6: [], 7: ['life7'], 8: [], 9: ['life9'], 10: ['life10', 'super_life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 2, 3: 1, 4: 0, 5: 4, 6: 0, 7: 1, 8: 0, 9: 1, 10: 2}",9,1,1,0,4,3.9,39.0,100090.0
p20,6,20,2.7,1.2,3.9,3,78.0,100084.0,11,"['life10', 'wild', 'super_life3', 'super_life10', 'life5', 'life9', 'super_life2', 'life5', 'super_life5', 'life7', 'death2']","{'suits': {1: [], 2: ['super_life2', 'death2'], 3: ['super_life3'], 4: [], 5: ['life5', 'life5', 'super_life5', 'wild'], 6: [], 7: ['life7'], 8: [], 9: ['life9'], 10: ['life10', 'super_life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 2, 3: 1, 4: 0, 5: 4, 6: 0, 7: 1, 8: 0, 9: 1, 10: 2}",9,1,1,0,4,3.9,78.0,100180.0
p50,6,50,2.7,1.2,3.9,3,195.0,100210.0,11,"['life10', 'wild', 'super_life3', 'super_life10', 'life5', 'life9', 'super_life2', 'life5', 'super_life5', 'life7', 'death2']","{'suits': {1: [], 2: ['super_life2', 'death2'], 3: ['super_life3'], 4: [], 5: ['life5', 'life5', 'super_life5', 'wild'], 6: [], 7: ['life7'], 8: [], 9: ['life9'], 10: ['life10', 'super_life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 2, 3: 1, 4: 0, 5: 4, 6: 0, 7: 1, 8: 0, 9: 1, 10: 2}",9,1,1,0,4,3.9,195.0,100450.0
p100,6,100,2.7,1.2,3.9,3,390.0,100420.0,11,"['life10', 'wild', 'super_life3', 'super_life10', 'life5', 'life9', 'super_life2', 'life5', 'super_life5', 'life7', 'death2']","{'suits': {1: [], 2: ['super_life2', 'death2'], 3: ['super_life3'], 4: [], 5: ['life5', 'life5', 'super_life5', 'wild'], 6: [], 7: ['life7'], 8: [], 9: ['life9'], 10: ['life10', 'super_life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 2, 3: 1, 4: 0, 5: 4, 6: 0, 7: 1, 8: 0, 9: 1, 10: 2}",9,1,1,0,4,3.9,390.0,100900.0
p250,6,250,2.7,1.2,3.9,3,975.0,101050.0,11,"['life10', 'wild', 'super_life3', 'super_life10', 'life5', 'life9', 'super_life2', 'life5', 'super_life5', 'life7', 'death2']","{'suits': {1: [], 2: ['super_life2', 'death2'], 3: ['super_life3'], 4: [], 5: ['life5', 'life5', 'super_life5', 'wild'], 6: [], 7: ['life7'], 8: [], 9: ['life9'], 10: ['life10', 'super_life10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 2, 3: 1, 4: 0, 5: 4, 6: 0, 7: 1, 8: 0, 9: 1, 10: 2}",9,1,1,0,4,3.9,975.0,102250.0
