game_number,payout,lifestyle_bonus,total_payout,lifestyle_bonuses,cards_drawn,draw_order,card_stack,suit_counts,life,wild,death,super_death,longest_suit_count
5289,0.2,0.1,0.3,1,3,"['life1', 'life1', 'death7']","{'suits': {1: ['life1', 'life1'], 2: [], 3: [], 4: [], 5: [], 6: [], 7: ['death7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 2, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0}",2,0,1,0,2
5290,1.0,0.6,1.6,2,10,"['life9', 'life8', 'wild', 'life9', 'life4', 'life5', 'life1', 'life1', 'life6', 'death7']","{'suits': {1: ['life1', 'life1'], 2: [], 3: [], 4: ['life4'], 5: ['life5'], 6: ['life6'], 7: ['death7'], 8: ['life8'], 9: ['life9', 'life9', 'wild'], 10: []}, 'wilds': [], 'super_death': []}","{1: 2, 2: 0, 3: 0, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 3, 10: 0}",8,1,1,0,3
5291,2.4,0.6,3.0,2,8,"['life2', 'life5', 'life4', 'life8', 'super_wild', 'super_life6', 'super_life5', 'death6']","{'suits': {1: [], 2: ['life2'], 3: [], 4: ['life4'], 5: ['life5', 'super_life5', 'super_wild'], 6: ['super_life6', 'death6'], 7: [], 8: ['life8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 1, 5: 3, 6: 2, 7: 0, 8: 1, 9: 0, 10: 0}",6,1,1,0,3
5292,2.4,0.8,3.2,4,13,"['life8', 'life10', 'life4', 'super_life1', 'life6', 'life2', 'life10', 'life2', 'life5', 'life3', 'super_life2', 'super_life3', 'death4']","{'suits': {1: ['super_life1'], 2: ['life2', 'life2', 'super_life2'], 3: ['life3', 'super_life3'], 4: ['life4', 'death4'], 5: ['life5'], 6: ['life6'], 7: [], 8: ['life8'], 9: [], 10: ['life10', 'life10']}, 'wilds': [], 'super_death': []}","{1: 1, 2: 3, 3: 2, 4: 2, 5: 1, 6: 1, 7: 0, 8: 1, 9: 0, 10: 2}",12,0,1,0,3
5293,0.5,0.0,0.5,0,2,"['super_life9', 'death6']","{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: ['death6'], 7: [], 8: [], 9: ['super_life9'], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 1, 10: 0}",1,0,1,0,1
5294,0.2,0.0,0.2,0,3,"['life5', 'life2', 'death10']","{'suits': {1: [], 2: ['life2'], 3: [], 4: [], 5: ['life5'], 6: [], 7: [], 8: [], 9: [], 10: ['death10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1}",2,0,1,0,1
5295,1.1,0.6,1.7,2,7,"['life2', 'life4', 'life8', 'super_life4', 'life2', 'wild', 'death6']","{'suits': {1: [], 2: ['life2', 'life2', 'wild'], 3: [], 4: ['life4', 'super_life4'], 5: [], 6: ['death6'], 7: [], 8: ['life8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 3, 3: 0, 4: 2, 5: 0, 6: 1, 7: 0, 8: 1, 9: 0, 10: 0}",5,1,1,0,3
5296,0.0,0.0,0.0,0,1,['death10'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: ['death10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 1}",0,0,1,0,1
5297,0.0,0.0,0.0,0,1,['death8'],"{'suits': {1: [], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: ['death8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0}",0,0,1,0,1
5298,0.2,0.1,0.3,1,3,"['life4', 'life8', 'death4']","{'suits': {1: [], 2: [], 3: [], 4: ['life4', 'death4'], 5: [], 6: [], 7: [], 8: ['life8'], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 0, 3: 0, 4: 2, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0}",2,0,1,0,2
5299,0.0,0.0,0.0,0,1,['death1'],"{'suits': {1: ['death1'], 2: [], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,0,1,0,1
5300,2.1,0.5,2.6,1,5,"['super_wild', 'life1', 'super_life7', 'super_life2', 'death1']","{'suits': {1: ['life1', 'death1', 'super_wild'], 2: ['super_life2'], 3: [], 4: [], 5: [], 6: [], 7: ['super_life7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 3, 2: 1, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0}",3,1,1,0,3
5301,0.2,0.0,0.2,0,2,"['wild', 'death2']","{'suits': {1: [], 2: ['death2'], 3: [], 4: [], 5: [], 6: [], 7: [], 8: [], 9: [], 10: []}, 'wilds': ['wild'], 'super_death': []}","{1: 0, 2: 1, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0}",0,1,1,0,1
5302,0.5,0.1,0.6,1,5,"['wild', 'life2', 'life7', 'life9', 'death10']","{'suits': {1: [], 2: ['life2', 'wild'], 3: [], 4: [], 5: [], 6: [], 7: ['life7'], 8: [], 9: ['life9'], 10: ['death10']}, 'wilds': [], 'super_death': []}","{1: 0, 2: 2, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 1, 10: 1}",3,1,1,0,2
5303,1.5,0.0,1.5,0,4,"['super_life3', 'super_life7', 'super_life2', 'death4']","{'suits': {1: [], 2: ['super_life2'], 3: ['super_life3'], 4: ['death4'], 5: [], 6: [], 7: ['super_life7'], 8: [], 9: [], 10: []}, 'wilds': [], 'super_death': []}","{1: 0, 2: 1, 3: 1, 4: 1, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0}",3,0,1,0,1
5304,0.0,0.0,0.0,1,7,"['life3', 'super_life3', 'life7', 'wild', 'life8', 'life9', 'super_death']","{'suits': {1: [], 2: [], 3: ['life3', 'super_life3', 'wild'], 4: [], 5: [], 6: [], 7: ['life7'], 8: ['life8'], 9: ['life9'], 10: []}, 'wilds': [], 'super_death': ['super_death']}","{1: 0, 2: 0, 3: 3, 4: 0, 5: 0, 6: 0, 7: 1, 8: 1, 9: 1, 10: 0}",5,1,1,1,3
